epoch,val_ssim
1,0.8539421558380127
2,0.8639488816261292
3,0.864988386631012
4,0.8667436242103577
5,0.8672689199447632
6,0.8685595393180847
7,0.8731499314308167
8,0.8713727593421936
9,0.8781517148017883
10,0.8782978653907776
11,0.879467248916626
12,0.8785264492034912
13,0.8814603686332703
14,0.881301999092102
15,0.8821640610694885
16,0.8792574405670166
17,0.8819026350975037
18,0.8837424516677856
19,0.8730385899543762
20,0.8835023641586304
21,0.8821190595626831
22,0.8817603588104248
23,0.872234046459198
24,0.8824530243873596
25,0.8787029981613159
26,0.879793107509613
27,0.8788045048713684
28,0.8872984647750854
29,0.8886284828186035
30,0.8870141506195068
31,0.885297417640686
32,0.8837481141090393
33,0.8874661326408386
34,0.8855527639389038
35,0.8877119421958923
36,0.8856772184371948
37,0.8827043175697327
38,0.8897880911827087
39,0.884036123752594
40,0.8888846635818481
41,0.8779701590538025
42,0.8850762844085693
43,0.8888062834739685
44,0.883668839931488
45,0.8788473606109619
46,0.8870590925216675
47,0.8871557116508484
48,0.8843374252319336
49,0.8876398801803589
50,0.8887259364128113
51,0.8861494064331055
52,0.8897444605827332
53,0.8901336193084717
54,0.8895176649093628
55,0.8884578347206116
56,0.888041079044342
57,0.8838773965835571
58,0.8905309438705444
59,0.8899274468421936
60,0.8900949954986572
61,0.885759711265564
62,0.8887289762496948
63,0.8900537490844727
64,0.8881065845489502
65,0.889259397983551
66,0.8897067904472351
67,0.8884471654891968
68,0.8914601802825928
69,0.888922929763794
70,0.891217827796936
71,0.88835209608078
72,0.8915696740150452
73,0.88798987865448
74,0.8917288184165955
75,0.8889833688735962
76,0.8922529220581055
77,0.8905640840530396
78,0.8876689672470093
79,0.8915241956710815
80,0.892197847366333
81,0.8902551531791687
82,0.8882131576538086
83,0.8883325457572937
84,0.8897793292999268
85,0.8870837092399597
86,0.8905212879180908
87,0.8908072710037231
88,0.8925740718841553
89,0.889799177646637
90,0.8889704942703247
91,0.8919143080711365
92,0.8891469240188599
93,0.8907690644264221
94,0.8916513323783875
95,0.8909426927566528
96,0.8891324400901794
97,0.8914798498153687
98,0.8917794227600098
99,0.8918560743331909
100,0.891604483127594
